ACCTTYPE,SF,X,Y
Residential,3584,-104.7188144,40.02703513
Residential,2211,-104.7179664,40.02702557
Residential,24110,-104.7215959,40.02638364
Residential,16544,-104.7213969,40.02637281
Residential,16544,-104.7184419,40.02676045
Residential,1473,-104.7182055,40.02675414
Residential,2368,-104.7179621,40.02675102
Residential,988,-104.7193997,40.02675169
Residential,1098,-104.7192011,40.02675934
Residential,960,-104.7190303,40.02676111
Residential,3531,-104.7210219,40.02675787
Residential,7110,-104.7208135,40.026766
Residential,2800,-104.7206353,40.02676094
Residential,5960,-104.720467,40.02676604
Residential,5960,-104.7202835,40.0267648
Residential,25374,-104.7201052,40.02675974
Residential,25374,-104.7199217,40.0267585
Residential,7200,-104.7197195,40.02675956
Residential,7200,-104.7210388,40.02636955
Residential,2802,-104.7208428,40.02637299
Residential,4160,-104.7206645,40.02636793
Residential,3377,-104.7204963,40.02637303
Residential,624,-104.7203128,40.02637179
Residential,2156,-104.7201345,40.02636673
Residential,1696,-104.719951,40.02636549
Residential,1747,-104.7197797,40.02637391
Residential,2156,-104.7195962,40.02637266
Residential,57598,-104.7194179,40.0263676
Residential,1080,-104.7192345,40.02636636
Residential,1600,-104.7190667,40.02637768
Residential,2846,-104.7188832,40.02637643
Residential,1252,-104.7187049,40.02637137
Residential,144,-104.7185214,40.02637013
Residential,288,-104.7183502,40.02637854
Residential,288,-104.7181667,40.0263773
Residential,280,-104.7179884,40.02637223
Commercial,1630,-105.0170864,40.00080902
Residential,1794,-104.7851932,40.40879179
Residential,53751,-104.9279975,40.1042084
Residential,6400,-104.9277526,40.10409566
Residential,6400,-104.9277208,40.10389819
Residential,1794,-104.927726,40.10371728
Residential,2144,-104.9283623,40.1037784
Residential,1794,-104.92836,40.10360682
Residential,1794,-104.9283614,40.10344383
Residential,1794,-104.9283627,40.10327719
Residential,2144,-104.9283641,40.1031142
Residential,1794,-104.9283693,40.1029443
Residential,560,-104.927356,40.10252103
Residential,308,-104.9271847,40.10251446
Residential,1846,-104.9270118,40.10252789
Residential,300,-104.9268256,40.10252696
Residential,2400,-104.9266529,40.10252326
Residential,392,-104.9278261,40.1030152
Residential,3150,-104.9274375,40.10301329
Residential,11773,-104.9272476,40.10301235
Residential,4250,-104.9270598,40.1030114
Residential,841,-104.9266712,40.10300948
Residential,163560,-104.9264813,40.10300853
Residential,163560,-104.9278353,40.1032984
Residential,2462,-104.9276455,40.10328888
Residential,1332,-104.9274332,40.10328783
Residential,576,-104.9272515,40.10328978
Residential,576,-104.9270393,40.10328872
Residential,200,-104.9268765,40.10329646
Residential,200,-104.925268,40.10601837
Residential,200,-104.9252581,40.10587249
Residential,112,-104.9252594,40.10571829
Residential,140,-104.9252606,40.10557796
Residential,100,-104.9252544,40.10543209
Residential,216,-104.9252559,40.10525215
Residential,680,-104.9252947,40.10506075
Residential,624,-104.9273434,40.10456457
Residential,3840,-104.9273558,40.10442451
Residential,948,-104.9273531,40.10429317
Residential,390,-104.9273506,40.10415568
Residential,353,-104.9273518,40.10400413
Residential,1800,-104.9273492,40.10387279
Residential,1890,-104.9273505,40.10372124
Residential,1440,-104.9267364,40.10456156
Residential,1440,-104.9267377,40.10441001
Residential,1152,-104.9267351,40.10427867
Residential,1024,-104.9267325,40.10414118
Residential,2496,-104.9267338,40.10398963
Residential,2128,-104.9267312,40.10385828
Residential,576,-104.9267324,40.10370673
Residential,68295,-104.9263191,40.10369896
Residential,750,-104.9263253,40.10385627
Residential,738,-104.9263452,40.1041305
Residential,1890,-104.9263292,40.10426616
Residential,416,-104.9263714,40.10455519
Residential,1920,-104.9263243,40.10439768
Residential,672,-104.9257203,40.10404564
Residential,868,-104.9248207,40.10457312
Residential,1054,-104.9250292,40.10458274
Residential,1560,-104.9254316,40.10411291
Residential,1300,-104.9252305,40.10411188
Residential,1416,-104.9250405,40.10411952
Residential,798,-104.9248357,40.10412136
Residential,1312,-104.9258019,40.10364571
Residential,1312,-104.9256268,40.10365056
Residential,1440,-104.9254406,40.10364675
Residential,2536,-104.9252656,40.1036516
Residential,630,-104.9250907,40.10363929
Residential,3200,-104.9249107,40.10362698
Residential,1376,-104.9247358,40.10360895
Residential,1376,-104.9244865,40.10358769
Residential,2128,-104.92431,40.10375553
Residential,1222,-104.9243049,40.10392839
Residential,132,-104.9242999,40.10408278
Residential,560,-104.9243088,40.10435316
Residential,840,-104.9242914,40.10421581
Residential,160,-104.9248904,40.10514147
Residential,969,-104.9248782,40.10528284
Residential,130,-104.9248806,40.10543155
Residential,1624,-104.9248805,40.10499558
Residential,768,-104.9248792,40.10558378
Residential,3000,-104.9248855,40.10572107
Residential,840,-104.9248918,40.10585681
Residential,512,-104.924898,40.10601412
Residential,384,-104.9243024,40.10509664
Residential,432,-104.9242938,40.10523386
Residential,868,-104.924304,40.1053639
Residential,200,-104.9243054,40.10564568
Residential,1512,-104.9242968,40.1057829
Residential,880,-104.9243069,40.10591294
Residential,750,-104.9242983,40.10605016
Residential,6000,-104.9243081,40.106191
Residential,1889,-104.9242995,40.10632822
Residential,1444,-104.9243097,40.10645826
Residential,4200,-104.9243011,40.10659548
Residential,6000,-104.9248146,40.1064096
Residential,1500,-104.9250044,40.10642484
Residential,4400,-104.9251831,40.10642573
Residential,9196,-104.9532041,40.10270842
Residential,9196,-104.9534427,40.10267142
Residential,9196,-104.9536951,40.10278319
Residential,9196,-104.9537877,40.10299714
Residential,9196,-104.9537961,40.10318401
Residential,9196,-104.9537802,40.10332446
Residential,9196,-104.9537886,40.10351133
Residential,9196,-104.9537672,40.10369025
Residential,3742,-104.9536417,40.10386123
Residential,1200,-104.9535857,40.10402523
Residential,1260,-104.9535843,40.10420824
Residential,1080,-104.9532194,40.10333781
Vacant Land,2040,-104.9531982,40.10350547
Residential,7936,-104.9531123,40.10367264
Residential,4464,-104.9530512,40.10385537
Residential,1864,-104.9529953,40.10401937
Residential,96,-104.9529938,40.10420238
Residential,800,-104.9525393,40.1033305
Residential,1960,-104.9525379,40.10351351
Residential,1864,-104.9525264,40.10367722
Residential,450,-104.952525,40.10386023
Residential,216,-104.9525287,40.10401307
Vacant Land,1345,-104.9519631,40.10333987
Residential,2025,-104.9519669,40.10349272
Residential,336,-104.9519406,40.10366766
Residential,2043,-104.9519391,40.10385067
Residential,1155,-104.9519429,40.10400352
Residential,3886,-104.9519414,40.10418653
Residential,4234,-104.9528602,40.10593034
Residential,3569,-104.9528646,40.10575879
Residential,3425,-104.952852,40.10695851
Residential,4210,-104.9528533,40.10678932
Residential,4234,-104.9528578,40.10661776
Residential,3454,-104.952853,40.10644617
Residential,4189,-104.9528543,40.10627698
Residential,1196,-104.9528588,40.10610543
Residential,1200,-104.9534908,40.1070103
Residential,960,-104.9534395,40.10682895
Residential,1920,-104.9534194,40.10664536
Residential,1728,-104.9534208,40.10647618
Residential,1782,-104.9534253,40.10630462
Residential,2253,-104.9534204,40.10613302
Residential,1792,-104.9534218,40.10596384
Residential,3360,-104.9534263,40.10579228
Residential,3600,-104.9534461,40.10562822
Residential,1596,-104.9534476,40.10544712
Residential,200,-104.9534679,40.10524916
Residential,144,-104.9534972,40.1050801
Residential,5044,-104.953514,40.10491337
Residential,1596,-104.9535557,40.10473273
Residential,12438,-104.9535665,40.10455167
Residential,8000,-104.9528627,40.10525344
Residential,12438,-104.952892,40.10508439
Residential,16000,-104.9529276,40.10490107
Residential,16000,-104.9529505,40.10473701
Residential,12168,-104.9529861,40.10455369
Residential,4189,-104.9525299,40.10473016
Residential,3886,-104.9524894,40.10652292
Residential,4220,-104.9524891,40.10634906
Residential,3918,-104.9525027,40.1061785
Residential,4220,-104.9524997,40.10600463
Residential,3425,-104.9524994,40.10583076
Commercial,2105,-104.9524963,40.10565688
Commercial,2137,-104.8278022,40.33079756
Residential,1246,-104.9347137,40.07526824
Residential,1453,-104.7364324,40.38164299
Residential,25968,-104.7365763,40.38164537
Residential,25968,-104.7368062,40.38164974
Vacant Land,2318,-104.7369521,40.38164641
Residential,1761,-104.7364524,40.38202487
Vacant Land,1568,-104.7365928,40.38200577
Residential,1554,-104.7367985,40.38200713
Residential,1790,-104.7368163,40.38230397
Residential,1453,-104.736629,40.38233419
Vacant Land,1613,-104.7364407,40.38229006
Residential,2318,-104.7372292,40.38266698
Vacant Land,2302,-104.7371171,40.38266052
Residential,2122,-104.7369581,40.38265948
Residential,2318,-104.7367992,40.38265843
Vacant Land,1453,-104.7366439,40.38267171
Residential,1080,-104.8170597,40.41690641
Residential,864,-104.8657077,40.32102049
Residential,288,-104.8659841,40.32102057
Residential,288,-104.866212,40.32102039
Residential,1949,-104.8664418,40.32102022
Residential,1326,-104.8657072,40.32134282
Residential,960,-104.8659855,40.32134291
Residential,2023,-104.8662152,40.3213456
Residential,1800,-104.8664449,40.32134972
Residential,2150,-104.8627262,40.32793442
Residential,1679,-104.8626998,40.32808869
Residential,1450,-104.8657091,40.32500608
Residential,1729,-104.8659762,40.32500182
Residential,1658,-104.8662209,40.32501031
Residential,1923,-104.8664413,40.32501294
Residential,1618,-104.8657153,40.32468416
Residential,1982,-104.8659805,40.32468561
Residential,1493,-104.8662178,40.32468405
Residential,2280,-104.8664363,40.32468953
Residential,2400,-104.8672954,40.32348385
Residential,1200,-104.8673028,40.32328801
Residential,950,-104.8673007,40.32311357
Commercial,1779,-104.7809557,40.41444707
Commercial,1508,-104.9776229,40.16454897
Residential,2318,-104.8372293,40.32838787
Residential,2302,-104.8372293,40.32838787
Residential,2122,-104.8372293,40.32838787
Residential,1922,-104.8372293,40.32838787
Residential,2302,-104.8383655,40.32837511
Residential,2318,-104.838749,40.32818669
Residential,2122,-104.8387506,40.32841606
Residential,2122,-104.8394923,40.32818796
Residential,2318,-104.8401513,40.32841792
Residential,2934,-104.8401536,40.3281856
Residential,600,-104.8337389,40.32032305
Residential,480,-104.8340252,40.320171
